4.350000000000000000e+02,1.640000000000000000e+02
8.470000000000000000e+02,1.670000000000000000e+02
2.280000000000000000e+02,5.480000000000000000e+02
1.051000000000000000e+03,5.570000000000000000e+02
4.870000000000000000e+02,1.640000000000000000e+02
3.330000000000000000e+02,5.480000000000000000e+02
7.950000000000000000e+02,1.670000000000000000e+02
9.460000000000000000e+02,5.550000000000000000e+02
4.670000000000000000e+02,2.150000000000000000e+02
8.150000000000000000e+02,2.180000000000000000e+02
3.900000000000000000e+02,4.050000000000000000e+02
8.890000000000000000e+02,4.100000000000000000e+02
6.410000000000000000e+02,2.170000000000000000e+02
6.390000000000000000e+02,4.070000000000000000e+02
3.870000000000000000e+02,2.880000000000000000e+02
3.870000000000000000e+02,2.420000000000000000e+02
8.910000000000000000e+02,2.960000000000000000e+02
8.930000000000000000e+02,2.460000000000000000e+02
